793,568
17,26,43,40
0,0,18,600
782,0,800,600
0,574,800,600
491,516,512,525
570,462,576,473
589,440,604,447
620,406,634,410
648,355,667,358
655,304,677,310
594,317,617,324
546,311,554,316
474,285,499,300
398,272,415,278
353,279,368,286
286,288,300,294
135,264,144,268
208,227,217,234
778,216,798,222
740,170,756,173
686,130,704,137
632,114,645,118
6,49,52,53
53,54,68,62
74,65,86,70
92,70,102,74
181,95,196,98
210,100,226,104
119,94,143,103
154,116,182,131
258,177,266,188
308,202,323,205
354,161,366,167
406,164,434,178
445,190,477,195
506,173,570,188
597,166,618,170
383,68,409,72
526,72,580,100
619,31,666,34
692,46,744,59
142,398,162,416
175,384,190,388
209,392,245,423
270,442,330,463
189,510,201,515
303,486,341,498
194,483,206,486
126,454,132,462
